County,Per Capita Income,Median Household,Median Family Income,Population,Households
Los Alamos,49474,103643,118993,17950,7663
Santa Fe,32188,52696,64041,144170,61963
Bernalillo,26143,47481,59809,662564,266000
Sandoval,25979,57158,65906,131561,47602
Eddy,24587,46583,56646,53829,20411
Lincoln,24290,43750,53871,20497,9219
New Mexico,22966,43820,52565,2059179,791395
Taos,22145,35441,43236,32937,14806
Mora,22035,37784,42122,4881,2114
Grant,21164,36591,44360,29514,12586
Colfax,21047,39216,48450,13750,6011
Catron,20895,31914,40906,3725,1787
De Baca,20769,30643,36618,2022,912
San Juan,20725 ,46189 ,53540 ,130044,44404
Valencia,19955 ,42044 ,48767 ,76569,27500
Curry,19925 ,38090 ,48933 ,48376,18015
Rio Arriba,19913 ,41437 ,47840 ,40246,15768
Lea,19637 ,43910 ,48980 ,64727,22236
Otero,19255 ,39615 ,46210 ,63797,24464
Union,19228 ,39975 ,41687 ,4549,1695
San Miguel,18508 ,32213 ,42888 ,29393,11978
Chaves,18504 ,37524 ,43464 ,65645,23691
Dona Ana,18315 ,36657 ,43184 ,209233,75532
Quay,18234 ,28773 ,41766 ,9041,4072
Socorro,17801 ,33284 ,41964 ,17866,7014
Hidalgo,17451 ,36733 ,41594 ,4894,1936
Torrance,17278 ,37117 ,43914 ,16383,6264
Roosevelt,16933 ,37762 ,43536 ,19846,7299
Sierra,16667 ,25583 ,38641 ,11988,5917
Luna,15687 ,27997 ,33312 ,25095,9593
Cibola,14712 ,37361 ,41187 ,27213,8860
Harding,14684 ,33750 ,56563 ,695, 349
Guadalupe,13710 ,28488 ,37535 ,4687,1766
McKinley,12932 ,31335 ,37345 ,71492,21968
